,Formula,FW,DSSTox_CID,SR-HSE,ID,SMILES,Molecule,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
12,C21H26Cl2O,365.3365,25889,,NCGC00095016-05,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad19b81a50>,0.0,0.0,0.0,,0.0,1.0,,,,0.0,
13,C16H23N5O,301.3867,25955,,NCGC00095192-05,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,<rdkit.Chem.rdchem.Mol object at 0x7fad19b81b30>,,0.0,,,,,,,,,
14,C8H5Cl3O,223.4837,6190,1.0,NCGC00091258-05,O=C(CCl)c1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad19b81c10>,0.0,1.0,,0.0,0.0,1.0,0.0,,1.0,1.0,0.0
15,C29H44O12,584.6525,23765,0.0,NCGC00263656-01,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7fad19b81cf0>,0.0,,1.0,0.0,0.0,1.0,,,0.0,,1.0
16,C17H38BrN,336.3943,24367,,NCGC00166121-03,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],<rdkit.Chem.rdchem.Mol object at 0x7fad19b81dd0>,0.0,1.0,,0.0,0.0,1.0,,,,0.0,
17,C22H40BrNO,414.4631,13468,,NCGC00257773-01,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x7fad19b81eb0>,0.0,,,0.0,0.0,1.0,,,,,
18,C21H38BrN,384.4371,13307,,NCGC00091023-06,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x7fad19b81f90>,0.0,1.0,1.0,0.0,0.0,,,,,,0.0
19,C25H30ClN3,407.9788,653,1.0,NCGC00091112-09,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x7fad19b860b0>,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,0.0,1.0
20,C33H34N4O6,582.6463,120,,NCGC00167436-02,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,<rdkit.Chem.rdchem.Mol object at 0x7fad19b86200>,0.0,1.0,,,0.0,,,,,,
21,C18H14Cl4N4O4,492.1402,25943,1.0,NCGC00177980-03,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O,<rdkit.Chem.rdchem.Mol object at 0x7fad19b862e0>,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0
22,C22H27NO2,337.4553,2880,1.0,NCGC00179665-04,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,<rdkit.Chem.rdchem.Mol object at 0x7fad19b86430>,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
23,C23H25F7N4O3,538.4584,28973,,NCGC00344566-01,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad19b86510>,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0
24,C20H14NO4,332.3289,25204,1.0,NCGC00015959-09,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,<rdkit.Chem.rdchem.Mol object at 0x7fad19b865f0>,0.0,,,1.0,1.0,,,,,,
25,C14H24N2O3,268.352,25583,1.0,NCGC00017112-10,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,<rdkit.Chem.rdchem.Mol object at 0x7fad19b866d0>,,,,,,,,,,,
26,C26H29N3O6,479.525,3363,1.0,NCGC00015747-09,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x7fad19b867b0>,0.0,,,0.0,,1.0,,,,,0.0
27,C35H40Cl2N4O6,683.6213,796,0.0,NCGC00167493-04,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1.Cl.Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad19b86890>,0.0,,,0.0,0.0,1.0,,,,,0.0
28,C20H24ClNS,345.9293,25359,0.0,NCGC00273481-01,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1.Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad19b86970>,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
29,C17H17ClF6N2O,414.7731,27796,0.0,NCGC00161831-04,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,<rdkit.Chem.rdchem.Mol object at 0x7fad19b86a50>,0.0,,,,,,1.0,,,,
30,C28H28ClNO4S,510.0442,14181,1.0,NCGC00015889-11,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,<rdkit.Chem.rdchem.Mol object at 0x7fad19b86ba0>,0.0,0.0,1.0,,0.0,1.0,,,1.0,,
31,C6H12N2S3,208.3679,1333,1.0,NCGC00159424-04,CN(C)C(=S)SC(=S)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fad19b86cf0>,0.0,,,1.0,,,,,0.0,1.0,0.0
32,C6H12N2S4,240.4329,1332,1.0,NCGC00091563-12,CN(C)C(=S)SSC(=S)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fad19b86dd0>,0.0,,,0.0,0.0,1.0,,,0.0,1.0,
33,C17H19ClN2S,318.8642,2808,0.0,NCGC00015273-19,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,<rdkit.Chem.rdchem.Mol object at 0x7fad19b86eb0>,0.0,,0.0,0.0,0.0,,,,,0.0,0.0
34,C28H31FN4O,458.5703,110,0.0,NCGC00257649-01,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad19b86f90>,0.0,,,0.0,,,,,,,0.0
35,C21H22N2O7,414.4086,31625,0.0,NCGC00262909-01,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C[C@H]3C[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x7fad089e0120>,,,,,,,,,,,
36,C18H23N3O5,361.3923,26274,1.0,NCGC00096056-02,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1.O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e0200>,0.0,,1.0,,1.0,1.0,0.0,,1.0,0.0,1.0
37,C34H41N7O5,627.7332,31470,0.0,NCGC00262929-01,CCCCCCOC(=O)/N=C(/N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad089e02e0>,,,,,,,,,,,
38,C47H74O19,943.0791,2897,0.0,NCGC00159441-03,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1,<rdkit.Chem.rdchem.Mol object at 0x7fad089e03c0>,,,,0.0,0.0,1.0,,,,,
39,C41H64O13,764.9391,2933,0.0,NCGC00142623-04,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e04a0>,,,,0.0,0.0,1.0,,,1.0,,1.0
40,C30H42O8,530.6497,3532,0.0,NCGC00344555-01,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e0580>,,,,,0.0,1.0,,,0.0,,
41,C11H8O2,172.18,1715,,NCGC00016258-06,CC1=CC(=O)c2ccccc2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e0660>,0.0,1.0,0.0,,1.0,,,0.0,1.0,0.0,0.0
42,C13H8Br3NO2,449.9201,6181,1.0,NCGC00159476-09,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e0740>,0.0,,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0
43,C22H16O6,376.3588,26101,0.0,NCGC00160275-03,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e0820>,0.0,,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,
44,C20H44BrN,378.4741,21759,,NCGC00166120-02,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],<rdkit.Chem.rdchem.Mol object at 0x7fad089e0970>,0.0,1.0,1.0,0.0,0.0,1.0,,,,,
45,C27H42ClNO2,448.0809,3810,,NCGC00016373-08,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x7fad089e0a50>,0.0,1.0,,0.0,0.0,1.0,,0.0,,,
46,C28H44ClNO2,462.1075,15708,,NCGC00016789-06,Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x7fad089e0ba0>,0.0,1.0,,0.0,0.0,1.0,,,,,
47,C18H16Cl3N3O3S,460.7619,25490,1.0,NCGC00018250-06,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e0cf0>,0.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0
48,C25H25N3O5,447.4831,31491,1.0,NCGC00253588-01,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fad089e0e40>,,,,,,,,,,,
49,C25H29I2NO3,645.3116,2592,,NCGC00015096-17,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad089e0f90>,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0
51,C21H27ClN2S2,407.0355,29360,,NCGC00260347-01,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad089e7200>,0.0,,,,,,,,,,
52,C13H30ClNO2,267.8358,26529,0.0,NCGC00166070-02,CCCCCCCCCCOCC(O)CN.Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad089e72e0>,0.0,,,,0.0,,0.0,,,,0.0
53,C16H13Cl3N2OS,387.7112,26619,1.0,NCGC00167430-04,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad089e73c0>,0.0,,1.0,,0.0,,,0.0,,0.0,
54,C25H30ClNO5,459.9624,27765,0.0,NCGC00016710-05,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e74a0>,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
55,C21H26N2S2,370.5745,3656,0.0,NCGC00016059-13,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,<rdkit.Chem.rdchem.Mol object at 0x7fad089e75f0>,0.0,,,0.0,0.0,,,,,,0.0
56,C37H38N2O6,606.7074,25957,0.0,NCGC00161621-03,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,<rdkit.Chem.rdchem.Mol object at 0x7fad089e76d0>,,,,,,,,,,,
57,C23H25F3N2OS,434.5176,26310,0.0,NCGC00162179-08,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fad089e77b0>,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0
58,C24H26ClFN4O,440.9408,28893,0.0,NCGC00181782-03,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fad089e7900>,0.0,,,0.0,0.0,,,,,0.0,0.0
59,C14H9ClN2O3S,320.7509,26104,0.0,NCGC00263542-01,NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21,<rdkit.Chem.rdchem.Mol object at 0x7fad089e7a50>,0.0,,,0.0,1.0,1.0,,,1.0,,
60,C22H40O7,416.5488,26705,,NCGC00167547-02,CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e7b30>,,0.0,,,,,,,,,
61,C26H33FN4O7,532.5612,26492,0.0,NCGC00164631-05,CCN(CC)CCNC(=O)C1C(C)=NC(/C=C2\C(=O)Nc3ccc(F)cc32)=C1C.O=C(O)CC(O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e7c10>,,,,,,,,,,,
62,C26H24N6O4S,516.5716,23777,0.0,NCGC00166245-04,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e7cf0>,0.0,,1.0,,1.0,1.0,1.0,,1.0,,
63,C11H10O2,174.1959,3247,1.0,NCGC00253592-01,Cc1cc(O)c2ccccc2c1O,<rdkit.Chem.rdchem.Mol object at 0x7fad089e7e40>,,,,,,,,,,,
64,C14H11NO5,273.2408,3685,0.0,NCGC00181767-03,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad089e7f20>,0.0,,0.0,0.0,,1.0,0.0,,0.0,0.0,
65,C10H8O3,176.1687,5670,,NCGC00016345-08,Cc1cc(=O)oc2cc(O)ccc12,<rdkit.Chem.rdchem.Mol object at 0x7fad089ec040>,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,C19H42BrN,364.4475,17028,0.0,NCGC00164283-07,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],<rdkit.Chem.rdchem.Mol object at 0x7fad089ec120>,0.0,,,1.0,0.0,1.0,1.0,,,0.0,
67,C23H46ClNO2,404.0698,26606,0.0,NCGC00187943-02,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x7fad089ec200>,0.0,,,0.0,0.0,1.0,,0.0,,,
68,C25H25IN2,480.3839,26576,,NCGC00166247-02,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[I-],<rdkit.Chem.rdchem.Mol object at 0x7fad089ec2e0>,0.0,1.0,,0.0,,1.0,,0.0,1.0,,
69,C19H18Cl3N3O3S,474.7885,25452,1.0,NCGC00179596-03,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O,<rdkit.Chem.rdchem.Mol object at 0x7fad089ec430>,0.0,,1.0,0.0,,,0.0,0.0,,0.0,
70,C25H32O2,364.5204,26553,0.0,NCGC00166146-02,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,<rdkit.Chem.rdchem.Mol object at 0x7fad089ec580>,0.0,,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0
71,C36H50O6,578.7786,31414,0.0,NCGC00261967-01,CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,<rdkit.Chem.rdchem.Mol object at 0x7fad089ec6d0>,,,,,,,,,,,
72,C22H18N2,310.3917,25631,1.0,NCGC00018254-08,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad089ec7b0>,0.0,,1.0,,1.0,0.0,0.0,0.0,,0.0,
73,C32H38N2O5,530.6545,28583,,NCGC00182055-03,CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,<rdkit.Chem.rdchem.Mol object at 0x7fad089ec890>,0.0,0.0,1.0,,0.0,1.0,,0.0,0.0,0.0,0.0
74,C30H62O10,582.8073,19721,,NCGC00166290-03,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,<rdkit.Chem.rdchem.Mol object at 0x7fad089ec970>,0.0,1.0,,0.0,0.0,,,,,0.0,
75,C30H32Cl3NO,528.9402,26663,0.0,NCGC00167490-03,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad089eca50>,0.0,,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0
76,C20H24N2O2S,356.4818,3128,0.0,NCGC00016622-08,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,<rdkit.Chem.rdchem.Mol object at 0x7fad089ecba0>,0.0,,,0.0,1.0,,,,1.0,0.0,1.0
77,C20H25ClN2OS,376.9433,25187,0.0,NCGC00015838-06,CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad089ecc80>,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0
78,C21H29Cl2N3,394.3811,25681,0.0,NCGC00025187-02,C[C@@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@H](C)N1.Cl.Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad089ecd60>,,,,,,,,,,,
79,C21H26Cl2F3N3S,480.4174,25085,0.0,NCGC00186653-01,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad089eceb0>,0.0,,,0.0,0.0,,0.0,,,,0.0
80,C22H23ClFN3O2S,447.9533,22592,1.0,NCGC00025302-02,Cl.O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fad089f2040>,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
81,C7H4ClNOS,185.6308,31598,1.0,NCGC00262908-01,O=c1[nH]sc2cc(Cl)ccc12,<rdkit.Chem.rdchem.Mol object at 0x7fad089f2190>,,,,,,,,,,,
82,C22H23ClN2O2,382.8832,3224,,NCGC00015619-13,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fad089f2270>,0.0,1.0,0.0,0.0,0.0,,,0.0,1.0,,0.0
83,C18H14Cl4N2O,416.1286,25447,1.0,NCGC00179642-03,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad089f2350>,0.0,,1.0,,,0.0,0.0,0.0,,0.0,
84,C18H18ClNS,315.8602,2810,0.0,NCGC00013683-06,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,<rdkit.Chem.rdchem.Mol object at 0x7fad089f2430>,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0
85,C19H24N2,280.4073,23881,0.0,NCGC00015563-13,CN(C)CCCN1c2ccccc2CCc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7fad089f2510>,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0
86,C43H58N4O12,822.9402,1244,0.0,NCGC00179536-02,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x7fad089f25f0>,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
87,C21H22F3N3OS,421.4791,26180,0.0,NCGC00160483-02,CN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fad089f26d0>,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
89,C20H14ClN3O3S,411.8615,26738,,NCGC00167729-03,O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7fad089f2970>,0.0,1.0,0.0,0.0,,,0.0,1.0,0.0,0.0,
90,C28H32ClN3O8S,606.087,28941,0.0,NCGC00015856-10,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad089f2ac0>,0.0,,,0.0,1.0,,,,,,0.0
91,C24H28O2,348.4779,20619,1.0,NCGC00181016-04,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fad089f2ba0>,0.0,,0.0,,0.0,1.0,0.0,,,0.0,0.0
